fecha,partido,resultado,competencia,team_id
"Lun., 14 de Oct.",Ucrania,1 - 1,Chequia,450
"Vie., 11 de Oct.",Chequia,2 - 0,Albania,450
"Mar., 10 de Sep.",Chequia,3 - 2,Ucrania,450
"Sáb., 7 de Sep.",Georgia,4 - 1,Chequia,450
"Mié., 26 de Jun.",Chequia,1 - 2,Turquía,450
"Sáb., 22 de Jun.",Georgia,1 - 1,Chequia,450
"Mar., 18 de Jun.",Portugal,2 - 1,Chequia,450
"Lun., 10 de Jun.",Chequia,2 - 1,North Macedonia,450
"Jue., 11 de Jun.",México,2 - 0,Sudáfrica,467
"Sáb., 6 de Jun.",Jamaica,0 - 1,Sudáfrica,467
"Vie., 29 de May.",Sudáfrica,0 - 0,Nicaragua,467
"Mar., 31 de Mar.",Sudáfrica,1 - 2,Panamá,467
"Vie., 27 de Mar.",Sudáfrica,1 - 1,Panamá,467
"Dom., 4 de Ene.",Sudáfrica,1 - 2,Camerún,467
"Lun., 29 de Dic.",Zimbabwe,2 - 3,Sudáfrica,467
"Vie., 26 de Dic.",Egipto,1 - 0,Sudáfrica,467
"Lun., 22 de Dic.",Sudáfrica,2 - 1,Angola,467
"Sáb., 15 de Nov.",Sudáfrica,3 - 1,Zambia,467
"Mar., 14 de Oct.",Sudáfrica,3 - 0,Rwanda,467
"Vie., 10 de Oct.",Zimbabwe,0 - 0,Sudáfrica,467
"Mar., 9 de Sep.",Sudáfrica,1 - 1,Nigeria,467
"Vie., 5 de Sep.",Lesoto,0 - 3,Sudáfrica,467
"Lun., 18 de Ago.",Sudáfrica,3 - 3,Uganda,467
"Vie., 15 de Ago.",Niger,0 - 0,Sudáfrica,467
"Lun., 11 de Ago.",Sudáfrica,2 - 1,Guinea,467
"Vie., 8 de Ago.",Argelia,1 - 1,Sudáfrica,467
"Dom., 15 de Jun.",Angola,3 - 0,Sudáfrica,467
"Vie., 13 de Jun.",Sudáfrica,3 - 1,Comoros,467
"Mar., 10 de Jun.",Sudáfrica,2 - 0,Mozambique,467
"Mar., 10 de Jun.",Sudáfrica,0 - 0,Mauricio,467
"Sáb., 7 de Jun.",Sudáfrica,2 - 0,Zimbabwe,467
"Vie., 6 de Jun.",Sudáfrica,0 - 0,Tanzania,467
"Mié., 4 de Jun.",Sudáfrica,0 - 1,Mozambique,467
"Vie., 5 de Jun.",Canadá,1 - 1,Irlanda,206
"Lun., 1 de Jun.",Canadá,2 - 0,Uzbekistán,206
"Mar., 31 de Mar.",Canadá,0 - 0,Túnez,206
"Sáb., 28 de Mar.",Canadá,2 - 2,Islandia,206
"Sáb., 17 de Ene.",Canadá,1 - 0,Guatemala,206
"Mar., 18 de Nov.",Venezuela,0 - 2,Canadá,206
"Jue., 13 de Nov.",Canadá,0 - 0,Ecuador,206
"Mar., 14 de Oct.",Colombia,0 - 0,Canadá,206
"Vie., 10 de Oct.",Canadá,0 - 1,Australia,206
"Mar., 9 de Sep.",Gales,0 - 1,Canadá,206
"Vie., 5 de Sep.",Rumania,0 - 3,Canadá,206
"Dom., 29 de Jun.",Canadá,1 - 1Guatemala ganó 6-5 en penales,Guatemala,206
"Mar., 24 de Jun.",Canadá,2 - 0,El Salvador,206
"Sáb., 21 de Jun.",Curaçao,1 - 1,Canadá,206
"Mar., 17 de Jun.",Canadá,6 - 0,Honduras,206
"Mar., 10 de Jun.",Canadá,0 - 0Costa de Marfil ganó 5-4 en penales,Costa de Marfil,206
"Sáb., 7 de Jun.",Canadá,4 - 2,Ucrania,206
"Dom., 23 de Mar.",Canadá,2 - 1,Estados Unidos,206
"Jue., 20 de Mar.",Canadá,0 - 2,México,206
"Mar., 19 de Nov.",Canadá,3 - 0Vuelta,Suriname,206
"Vie., 15 de Nov.",Suriname,0 - 1Ida,Canadá,206
"Mar., 15 de Oct.",Canadá,2 - 1,Panamá,206
"Mar., 10 de Sep.",México,0 - 0,Canadá,206
"Sáb., 7 de Sep.",Estados Unidos,1 - 2,Canadá,206
"Sáb., 13 de Jul.",Canadá,2 - 2Uruguay ganó 4-3 en penales,Uruguay,206
"Sáb., 6 de Jun.",Panamá,1 - 1,Bosnia y Herzegovina,452
"Vie., 29 de May.",Bosnia y Herzegovina,0 - 0,North Macedonia,452
"Mar., 31 de Mar.",Bosnia y Herzegovina,1 - 1Bosnia y Herzegovina ganó 4-1 en penales,Italia,452
"Jue., 26 de Mar.",Gales,1 - 1Bosnia y Herzegovina ganó 4-2 en penales,Bosnia y Herzegovina,452
"Mar., 18 de Nov.",Austria,1 - 1,Bosnia y Herzegovina,452
"Sáb., 15 de Nov.",Bosnia y Herzegovina,3 - 1,Rumania,452
"Dom., 12 de Oct.",Malta,1 - 4,Bosnia y Herzegovina,452
"Jue., 9 de Oct.",Chipre,2 - 2,Bosnia y Herzegovina,452
"Mar., 9 de Sep.",Bosnia y Herzegovina,1 - 2,Austria,452
"Sáb., 6 de Sep.",San Marino,0 - 6,Bosnia y Herzegovina,452
"Mar., 10 de Jun.",Eslovenia,2 - 1,Bosnia y Herzegovina,452
"Sáb., 7 de Jun.",Bosnia y Herzegovina,1 - 0,San Marino,452
"Lun., 24 de Mar.",Bosnia y Herzegovina,2 - 1,Chipre,452
"Vie., 21 de Mar.",Rumania,0 - 1,Bosnia y Herzegovina,452
"Mar., 19 de Nov.",Bosnia y Herzegovina,1 - 1,Países Bajos,452
"Sáb., 16 de Nov.",Alemania,7 - 0,Bosnia y Herzegovina,452
"Lun., 14 de Oct.",Bosnia y Herzegovina,0 - 2,Hungría,452
"Vie., 11 de Oct.",Bosnia y Herzegovina,1 - 2,Alemania,452
"Mar., 10 de Sep.",Hungría,0 - 0,Bosnia y Herzegovina,452
"Sáb., 7 de Sep.",Países Bajos,5 - 2,Bosnia y Herzegovina,452
"Dom., 9 de Jun.",Italia,1 - 0,Bosnia y Herzegovina,452
"Lun., 3 de Jun.",Inglaterra,3 - 0,Bosnia y Herzegovina,452
"Jue., 21 de Mar.",Bosnia y Herzegovina,1 - 2,Ucrania,452
"Dom., 19 de Nov.",Bosnia y Herzegovina,1 - 2,Eslovaquia,452
"Jue., 16 de Nov.",Luxemburgo,4 - 1,Bosnia y Herzegovina,452
"Sáb., 6 de Jun.",Qatar,0 - 0,El Salvador,4398
"Jue., 28 de May.",Irlanda,1 - 0,Qatar,4398
"Lun., 17 de Nov.",Qatar,1 - 2,Zimbabwe,4398
"Mar., 14 de Oct.",Qatar,2 - 1,Emiratos Árabes Unidos,4398
"Mié., 8 de Oct.",Omán,0 - 0,Qatar,4398
"Dom., 7 de Sep.",Qatar,1 - 4,Rusia,4398
"Mié., 3 de Sep.",Qatar,2 - 2,Baréin,4398
"Dom., 24 de Ago.",Qatar,0 - 1,Líbano,4398
"Mar., 10 de Jun.",Uzbekistán,3 - 0,Qatar,4398
"Jue., 5 de Jun.",Qatar,1 - 0,Irán,4398
"Mar., 25 de Mar.",Kirguistán,3 - 1,Qatar,4398
"Jue., 20 de Mar.",Qatar,5 - 1,Corea del Norte,4398
"Vie., 27 de Dic.",Kuwait,1 - 1,Qatar,4398
"Mar., 24 de Dic.",Omán,2 - 1,Qatar,4398
"Sáb., 21 de Dic.",Emiratos Árabes Unidos,1 - 1,Qatar,4398
"Mar., 19 de Nov.",Emiratos Árabes Unidos,5 - 0,Qatar,4398
"Jue., 14 de Nov.",Qatar,3 - 2,Uzbekistán,4398
"Mar., 15 de Oct.",Irán,4 - 1,Qatar,4398
"Jue., 10 de Oct.",Qatar,3 - 1,Kirguistán,4398
"Mar., 10 de Sep.",Corea del Norte,2 - 2,Qatar,4398
"Jue., 5 de Sep.",Qatar,1 - 3,Emiratos Árabes Unidos,4398
"Mar., 11 de Jun.",Qatar,2 - 1,India,4398
