equipo,ataque_est,ataque_sd,Q2.5.x,Q97.5.x,defensa_est,defensa_sd,Q2.5.y,Q97.5.y,fuerza_neta,modelo
Switzerland,0.03870734593636725,0.09289917085021461,-0.0992275852861611,0.2846047110840514,0.003017134762730563,0.08749935314916177,-0.18159091221657545,0.1958465043692473,0.03569021117363669,B_wc_vs_wc
Paraguay,-0.007641051604361967,0.08009490545696432,-0.19155661667975799,0.15467038946347844,-0.04066580701107309,0.09526264663922944,-0.28880686979339637,0.10969749107546053,0.033024755406711126,B_wc_vs_wc
Ecuador,-0.03580826753974705,0.09069069681915552,-0.276270759579367,0.10243157113172294,-0.06494438926072307,0.11263861106721633,-0.36616371433494393,0.08115258600759441,0.029136121720976023,B_wc_vs_wc
Portugal,0.012460454522299207,0.08210543267431947,-0.1492126579112875,0.2067477634191315,-0.013625057385377112,0.09104619570811052,-0.23285858829038028,0.16436705285272546,0.026085511907676318,B_wc_vs_wc
Algeria,0.007160300375267401,0.0847597721320272,-0.1698061036815714,0.1994612063734293,-0.0166904256178336,0.09470731783140135,-0.24860652589621343,0.16837667331902714,0.023850725993101,B_wc_vs_wc
Australia,0.006567170417897701,0.07880218895390624,-0.1551467020827685,0.18592923184455992,-0.01724455540733154,0.08831939233093569,-0.2329894909503928,0.1498317707787164,0.02381172582522924,B_wc_vs_wc
Ivory Coast,0.008215821907679104,0.08365296625345735,-0.16557525459426917,0.20812505272680928,-0.013850896137970269,0.09326981132400003,-0.23674412767148423,0.17100309115070741,0.022066718045649372,B_wc_vs_wc
Belgium,0.017217083791134243,0.08481804920393043,-0.1421319589240128,0.22808847535773555,-0.0047585229322758315,0.09335170641593651,-0.21235263369436116,0.18909666805282624,0.021975606723410073,B_wc_vs_wc
Morocco,0.00928960535996784,0.08174177568018437,-0.15168933458358125,0.20518369737530953,-0.011397855302774068,0.09242348705611333,-0.22548381614808585,0.17415487639442576,0.020687460662741908,B_wc_vs_wc
Mexico,-0.004133208351148452,0.07617610853450504,-0.17766992683694388,0.1543181553265507,-0.02379628199906235,0.09143916598350685,-0.2495279057860752,0.1367814896226386,0.0196630736479139,B_wc_vs_wc
Spain,0.03897512108617718,0.08930159006430827,-0.09498606711391923,0.2729663373926283,0.022347255380071027,0.0917555748103508,-0.14658083020286833,0.2500103135670904,0.01662786570610615,B_wc_vs_wc
Austria,0.011373552948931389,0.08123764478472432,-0.15104483860679868,0.19845377944843048,-0.002474367797041666,0.08970713306642726,-0.19750279649792943,0.1938536951161453,0.013847920745973054,B_wc_vs_wc
Colombia,0.011193260930038532,0.0792176656922539,-0.15000564584376874,0.19873196679109828,-0.0017945321221036052,0.08590504327866719,-0.19540338234475843,0.18154034958684329,0.012987793052142137,B_wc_vs_wc
Uzbekistan,7.753342220146561e-4,0.08231426406151987,-0.18051245510951286,0.17866023715727605,-0.010424894558801913,0.08733479960341538,-0.21655600477020837,0.1686644582889369,0.011200228780816569,B_wc_vs_wc
