equipo,ataque_est,ataque_sd,Q2.5.x,Q97.5.x,defensa_est,defensa_sd,Q2.5.y,Q97.5.y,fuerza_neta,modelo
Norway,0.05958011956879702,0.0828680591064538,-0.03785944102613815,0.2805937592092852,-0.004389626462834464,0.07104756909911777,-0.1655375553481692,0.1447155058073731,0.06396974603163148,A_todos
Curaçao,0.038204816563327706,0.06745120992108383,-0.05720084267000609,0.21407024153703128,-0.012955838881780231,0.06964607094412952,-0.17370994998397957,0.12549537219668858,0.051160655445107936,A_todos
Ivory Coast,0.009201279583528054,0.05470934498386234,-0.10074199205692144,0.13895444336915083,-0.037873648098408805,0.07798086174937544,-0.23591610252716314,0.08630192840282297,0.04707492768193686,A_todos
New Zealand,0.04068063436087477,0.07161989965765239,-0.05498941475032016,0.23084296985784925,-0.005100921100531909,0.07059051858287606,-0.16426722816667919,0.14008655608754134,0.04578155546140668,A_todos
Japan,0.01988886899781137,0.058465592689847086,-0.07958877224513969,0.1673724341516733,-0.023219878269225204,0.07333615517134981,-0.20782904504149152,0.10427021292987554,0.043108747267036576,A_todos
Paraguay,-0.0031448778098379345,0.05762288570663377,-0.13215047869198485,0.12115743415481856,-0.04463011667786886,0.08052435201744296,-0.25146788726676467,0.07517304281280364,0.041485238868030926,A_todos
Bosnia and Herzegovina,0.013125370861921379,0.057966565799056284,-0.09665433577990917,0.15309893406258152,-0.024723030486193936,0.06938855471737262,-0.19192454429710742,0.09964208168994085,0.03784840134811532,A_todos
Morocco,-0.002688254712702375,0.05207042422071322,-0.11824695404422272,0.10925544756656291,-0.03940334567343996,0.07981746779258478,-0.24189927752484813,0.08482931061172891,0.036715090960737586,A_todos
Ecuador,-0.0209242531521117,0.06063711170572284,-0.1767366317867912,0.08177460000772718,-0.05704231528202353,0.08906858200884182,-0.289562417014188,0.06505147307346416,0.03611806212991184,A_todos
DR Congo,-0.008463689544777756,0.05524535376288438,-0.13797996000497148,0.1016515291883514,-0.042815735197662,0.07998610260264723,-0.24772674127803482,0.0777818510508202,0.034352045652884244,A_todos
Ghana,0.014120011341607794,0.05672217810581107,-0.08977085489030814,0.15238978323404379,-0.01850684706536682,0.07045520621877369,-0.18882631320864737,0.11683419040557631,0.032626858406974615,A_todos
Switzerland,0.020979890400944827,0.06025713394715872,-0.08229980129067149,0.17393424789428158,-0.008245580245212429,0.07105258623089764,-0.17044520586737535,0.13500303980656808,0.029225470646157256,A_todos
Australia,0.0037981749010375845,0.05496337145848225,-0.11179861987747988,0.12878680564813508,-0.019767887493764066,0.07307429421799687,-0.19930729455641988,0.11402781541791542,0.02356606239480165,A_todos
Algeria,0.012006701741327626,0.05432314288483274,-0.09236516059019902,0.14240846346951375,-0.010851575218584373,0.0717765179845907,-0.17826703789819534,0.1308075587711665,0.022858276959912,A_todos
Germany,0.024355721407102304,0.06081959878124173,-0.07619592189473072,0.17821289991577002,0.004731472176036091,0.06982421418556438,-0.14168343250989804,0.16057699870130743,0.01962424923106621,A_todos
Haiti,0.032316726962802265,0.06503771468947421,-0.06460414951514941,0.20535785188014452,0.012769859802494541,0.06869897082350088,-0.12324441096779437,0.16903837054326554,0.019546867160307724,A_todos
Canada,0.005316130260121713,0.056050169764875604,-0.11132380681397326,0.1325366894783593,-0.013755680604305183,0.07113879268103086,-0.18147551967071354,0.12583756026304208,0.019071810864426896,A_todos
Jordan,0.0187996598773681,0.05820641999560448,-0.0844799159672176,0.16339172678393085,0.0018006632183845295,0.06815170520982278,-0.1462979001008908,0.14847716864850632,0.01699899665898357,A_todos
Mexico,-0.0016392323159780395,0.05615819907527952,-0.1258917978071937,0.12217331219709104,-0.018144768078428356,0.07098001358593749,-0.1882883621926602,0.11351962691254797,0.016505535762450316,A_todos
Senegal,-5.008432755162297e-4,0.05410839261432201,-0.12006664648233384,0.1157978012209815,-0.016618001730717362,0.07187975591589041,-0.18998636163700683,0.11971214664744735,0.016117158455201133,A_todos
Turkey,0.02660914766649026,0.06089858170404868,-0.06881523830857136,0.18332054745029877,0.011165014539794337,0.06786207809548049,-0.1254058394553815,0.16539416919420827,0.015444133126695922,A_todos
Scotland,0.02034593568860211,0.059917999423897556,-0.08452357962227498,0.17055757102349506,0.006422291313502977,0.06826209181869543,-0.13355388080463915,0.16159030162660645,0.013923644375099131,A_todos
South Korea,0.011200038808542694,0.05575476506657299,-0.09767408878443033,0.14681879107033946,-0.001960170549076022,0.07071570183645454,-0.1576844439841701,0.14991675404122884,0.013160209357618715,A_todos
England,-0.014483137502002117,0.05578598372713844,-0.1490973069452376,0.0899129712310123,-0.027567474854944034,0.07642990012863626,-0.2174119763704836,0.10489862055570447,0.013084337352941917,A_todos
Colombia,0.01670119418921134,0.05872796965947021,-0.09076392329374369,0.1608382155769225,0.0036877918098020546,0.06936172140900572,-0.14350587629091174,0.15642906036812773,0.013013402379409286,A_todos
Uzbekistan,-0.009403458206219477,0.05589371332422355,-0.1392208389959324,0.10073772033237421,-0.02157770803390766,0.07267720367238109,-0.1970945413831348,0.11058537916941887,0.012174249827688182,A_todos
Tunisia,-0.009651315610007911,0.0550758464515282,-0.14034918013211817,0.10033408280017464,-0.02055069931811992,0.07265156530728448,-0.19699200344181966,0.11475555118211987,0.01089938370811201,A_todos
Belgium,0.015458623423634604,0.056414106868791614,-0.08651416307378841,0.15701103409377198,0.007333941106123909,0.06879760045154436,-0.1350549686211069,0.16492675309630622,0.008124682317510696,A_todos
Egypt,-0.019911873619573618,0.056558291026779624,-0.16017617209848206,0.07903708059300103,-0.02778415828785252,0.07303033486016047,-0.20748264954008347,0.09915148208180068,0.007872284668278901,A_todos
Saudi Arabia,-0.012460410602559154,0.057083677181787945,-0.15052478824811483,0.0947529002163534,-0.018943899983589935,0.06931045680907408,-0.1891019116793378,0.10898654525643767,0.006483489381030782,A_todos
Spain,0.014638110346206032,0.055397133608162306,-0.08521716018216083,0.14945253327816047,0.008292853956811496,0.07105358743653582,-0.13543376945267435,0.17012047172795144,0.006345256389394536,A_todos
Uruguay,-0.019851132447895437,0.059915754575124075,-0.17004256206562854,0.0829473162699994,-0.025416824047089677,0.07486690118339734,-0.21064642339868989,0.10590132333267865,0.0055656915991942404,A_todos
Iraq,-0.015100884917743354,0.05691877151846018,-0.1542462027614379,0.0909165277129962,-0.019826825739966147,0.07012811027969688,-0.18409756824444568,0.10888217096468637,0.004725940822222793,A_todos
Argentina,-0.012844731057943115,0.05564662997488856,-0.1460001050703853,0.09289125736524438,-0.017415529726445483,0.07235946777455905,-0.19060107598046755,0.11960156933786453,0.004570798668502367,A_todos
Cape Verde,-0.0013340493138693941,0.05616244047948815,-0.12626885592455614,0.12038397870042696,-0.004512556972739231,0.07009027438177665,-0.1603679442472942,0.14540540205307417,0.003178507658869837,A_todos
South Africa,-0.009343337052429186,0.054992837761010965,-0.14227244753092377,0.09892713119596874,-0.010287220602730475,0.06819365017502872,-0.1678118837647633,0.1251051461895624,9.438835503012884e-4,A_todos
United States,0.012931593894954602,0.05800477023123675,-0.09841403540472304,0.15112136669748635,0.013421023272212092,0.0701289694913917,-0.12313442717176545,0.17736829301900525,-4.894293772574904e-4,A_todos
Iran,-0.0032410467945267786,0.05505434755745803,-0.1291760918725768,0.11092654300414279,0.0017133323711051784,0.06964311872975541,-0.14820387707283061,0.15543614721908985,-0.004954379165631957,A_todos
Austria,-0.01019879227662105,0.05498630196597359,-0.1388636160844114,0.09757411993033668,-0.004704302738380487,0.06982069982431036,-0.16106229381653944,0.1410678176083426,-0.005494489538240564,A_todos
Brazil,-0.0012231048155935292,0.0552601822533474,-0.12238994369468152,0.1168933156620847,0.004483383572408744,0.07015060264124094,-0.14494704684345153,0.1619849646523219,-0.0057064883880022736,A_todos
Netherlands,0.0040912619870595275,0.052959174755619266,-0.10629624721761224,0.12290773610377846,0.011185466575222989,0.07197084599665317,-0.13144144463764365,0.17615028430329804,-0.007094204588163461,A_todos
Sweden,0.021331404451134933,0.059579750158072396,-0.080014201369468907,0.17077132233869882,0.03176121949574733,0.07368963533416978,-0.09097312972026682,0.2146846145925872,-0.010429815044612399,A_todos
Portugal,0.009309889238395843,0.05474341043518459,-0.09830499673367263,0.13918466329192106,0.023864827259471727,0.07378404014606332,-0.11102014025027265,0.20589747575436473,-0.014554938021075884,A_todos
Panama,1.2822285645381422e-4,0.054063582402164224,-0.11813601874515038,0.11894864069690059,0.01493578172137544,0.06789396271805764,-0.1170651599780827,0.17300804475291215,-0.014807558864921626,A_todos
Croatia,-0.01161664130503736,0.05548370081001634,-0.14196326722486705,0.0947187503301368,0.00881461879575228,0.07126044865814395,-0.13742925428631195,0.17067804594281152,-0.02043126010078964,A_todos
Czech Republic,0.0034738390532463143,0.05297717984372849,-0.108268863158847,0.12319435709617754,0.027008232361617316,0.07340558310931486,-0.10104994553672228,0.2091413626851887,-0.023534393308371003,A_todos
France,-0.006092645238232442,0.05418940792117877,-0.1331338505918914,0.10551030195778197,0.018337064818991233,0.07138494909940087,-0.11666791631049565,0.1879087507492605,-0.024429710057223674,A_todos
Qatar,-0.001688261048882136,0.05440790258274101,-0.12374701571496849,0.11558578181337906,0.03749766672123855,0.07572638955324415,-0.08522778363596471,0.22547923159137487,-0.039185927770120685,A_todos
